indx	film	id	rank	release_date	release_year	five_yr	verdict	verdict_rank	budget	first_week	tot_net_gross	budget_adjust	first_week_adjust	tot_net_gross_adjust	success_flop	profit_ratio
1509	Coffee With D	3456	1571	2017-01-20	2017	2015	Disaster	1	8.0	0.51	0.517	9.6	0.612	0.62	0.0	1.0
1510	Ishq Hai Tumse	497	1572	2004-01-02	2004	2000	Disaster	1	5.0	1.18	1.545	15.15	3.575	4.681	0.0	1.0
1511	Jaane Kahan Se Aayi Hai	104	1573	2010-04-09	2010	2010	Disaster	1	18.0	3.24	3.8680000000000003	35.1	6.318	7.543	0.0	1.0
1512	Iski Topi Uske Sarr	2550	1574	1998-07-17	1998	1995	Disaster	1	1.25	0.345	0.58	5.112	1.411	2.372	0.0	1.0
1513	Dil Pe Mat Le Yaar	792	1575	2000-10-06	2000	2000	Disaster	1	2.75	0.52	0.97	9.708	1.836	3.424	0.0	1.0
1514	Toh Baat Pakki	114	1576	2010-02-19	2010	2010	Disaster	1	11.0	3.24	3.37	21.45	6.318	6.572	0.0	1.0
1515	Rocky	1549	1577	2006-09-22	2006	2005	Disaster	1	9.25	1.83	2.155	25.622	5.069	5.969	0.0	1.0
1516	Chalo Ishq Ladaaye	1240	1578	2002-12-27	2002	2000	Disaster	1	4.0	0.72	1.048	13.0	2.34	3.406	0.0	1.0
1517	Mitti	2021	1579	2001-10-26	2001	2000	Disaster	1	2.5	0.5	0.743	8.525	1.705	2.534	0.0	1.0
1518	Jwalamukhi	2109	1580	2000-11-24	2000	2000	Disaster	1	1.0	0.355	0.66	3.53	1.253	2.33	0.0	1.0
1519	Police Force - An Inside Story	491	1581	2004-05-28	2004	2000	Disaster	1	5.5	0.805	1.195	16.665	2.439	3.621	0.0	1.0
1520	Sauda	3018	1582	1995-02-03	1995	1995	Disaster	1	0.7	0.28300000000000003	0.433	3.689	1.491	2.282	0.0	1.0
1521	Gandhi My Father	245	1583	2007-08-03	2007	2005	Disaster	1	8.0	2.365	3.418	20.8	6.149	8.887	0.0	1.0
1522	Dahek	2266	1584	1999-12-17	1999	1995	Disaster	1	2.75	0.535	0.725	9.762	1.899	2.574	0.0	1.0
1523	Shaadi Karke Phas Gaya Yaar	385	1585	2006-08-04	2006	2005	Disaster	1	11.0	1.68	1.9080000000000001	30.47	4.654	5.285	0.0	1.0
1524	Loot	852	1586	2011-11-04	2011	2010	Disaster	1	15.0	3.1	3.198	26.7	5.518	5.692	0.0	1.0
1525	Bangistan	2923	1587	2015-08-07	2015	2015	Disaster	1	29.0	5.31	5.336	37.7	6.903	6.937	0.0	1.0
1526	Arjun Patiala	5696	1588	2019-07-26	2019	2015	Disaster	1	24.0	6.07	6.215	26.4	6.677	6.836	0.0	1.0
1527	Bengal Tiger	2056	1589	2001-06-08	2001	2000	Disaster	1	0.85	0.36	0.635	2.898	1.228	2.165	0.0	1.0
1528	Kash... Aap Hamare Hote	583	1590	2003-02-14	2003	2000	Disaster	1	5.0	0.635	0.938	15.75	2.0	2.955	0.0	1.0
1529	Ankhon Mein Tum Ho	2619	1591	1997-12-26	1997	1995	Disaster	1	1.5	0.358	0.5529999999999999	6.525	1.557	2.406	0.0	1.0
1530	Papi Gudia	2823	1592	1996-02-16	1996	1995	Disaster	1	0.7	0.31	0.45299999999999996	3.36	1.488	2.174	0.0	1.0
1531	Dil Diya Hai	291	1592	2006-09-08	2006	2005	Disaster	1	8.5	2.06	2.31	23.545	5.706	6.399	0.0	1.0
1532	Gali Gali Chor Hai	24	1594	2012-02-03	2012	2010	Disaster	1	13.0	3.56	3.715	21.84	5.981	6.241	0.0	1.0
1533	Sher Khan	2522	1595	1998-09-25	1998	1995	Disaster	1	1.0	0.31	0.523	4.09	1.268	2.139	0.0	1.0
1534	Charas - A Joint Effort	476	1596	2004-05-07	2004	2000	Disaster	1	5.5	1.37	1.675	16.665	4.151	5.075	0.0	1.0
1535	Aatank	2825	1597	1996-02-09	1996	1995	Disaster	1	1.5	0.213	0.408	7.2	1.022	1.958	0.0	1.0
