film	id	rank	release_date	verdict	budget	first_week	tot_net_gross
Deewana Mastana	2642	159	10-Oct-97	Hit	70000000	41400000	135900000
M.S. Dhoni - The Untold Story	3394	160	30-Sep-16	Hit	1100000000	845800000	1190900000
Gully Boy	5602	161	14-Feb-19	Hit	840000000	935000000	1342400000
Sabse Bada Khiladi	2988	162	9-Jun-95	Hit	40000000	31525000	93950000
Housefull	92	163	30-Apr-10	Hit	470000000	473500000	722475000
Dulhe Raja	2553	164	10-Jul-98	Hit	50000000	32600000	127450000
Bhool Bhulaiyaa	233	165	12-Oct-07	Hit	320000000	235000000	490950000
Housefull 3	3296	166	3-Jun-16	Hit	970000000	800200000	1080725000
My Name Is Khan	96	167	12-Feb-10	Hit	850000000	464600000	728250000
Badal	717	168	11-Feb-00	Hit	100000000	61600000	153800000
Jolly LLB 2	3464	169	10-Feb-17	Hit	830000000	735800000	1077750000
Zindagi Na Milegi Dobara	33	170	15-Jul-11	Hit	600000000	447100000	899600000
Jaan	2801	171	17-May-96	Hit	47500000	34200000	100825000
Haseena Maan Jayegi	2404	172	25-Jun-99	Hit	90000000	47500000	150200000
Ae Dil Hai Mushkil	3402	173	28-Oct-16	Hit	980000000	781000000	1064800000
Satya	2555	174	3-Jul-98	Hit	25000000	15550000	143475000
Main Khiladi Tu Anari	3074	175	23-Sep-94	Hit	32500000	24325000	78825000
Ghulam	2557	176	19-Jun-98	Hit	72500000	40400000	133550000
Heyy Babyy	246	177	24-Aug-07	Hit	360000000	244800000	471200000
Bandhan	2519	178	2-Oct-98	Hit	57500000	41600000	120950000
Guru	223	179	12-Jan-07	Hit	220000000	187000000	454900000
Race	190	180	21-Mar-08	Hit	460000000	333300000	608300000
Virasat	2681	181	30-May-97	Hit	45000000	27650000	113200000
Mujhse Shaadi Karogi	453	182	30-Jul-04	Hit	190000000	122100000	291100000
Love Aaj Kal	138	183	31-Jul-09	Hit	560000000	428000000	665600000
Golmaal Returns	311	184	29-Oct-08	Hit	350000000	339000000	511200000
Ram Jaane	2915	185	1-Dec-95	Hit	37500000	31550000	86075000
Bhagam Bhag	284	186	22-Dec-06	Hit	320000000	209100000	403750000
Vijaypath	3090	187	5-Aug-94	Hit	27500000	24125000	64525000
Once Upon A Time In Mumbaai	85	188	30-Jul-10	Hit	350000000	345600000	582650000
Yes Boss	2670	189	18-Jul-97	Hit	50000000	32900000	113300000
Hamara Dil Aapke Paas Hai	739	190	25-Aug-00	Hit	90000000	49200000	147860000
Suhaag	3034	191	4-Nov-94	Hit	30000000	25925000	70900000
Daag - The Fire	2453	192	12-Feb-99	Hit	67500000	42200000	114500000
Raid	3729	193	16-Mar-18	Hit	720000000	598600000	980200000
Baaghi	3271	194	29-Apr-16	Hit	370000000	596800000	760650000
Elaan	3182	195	21-Jan-94	Hit	18500000	15875000	46100000
Cocktail	652	196	13-Jul-12	Hit	530000000	525100000	744800000
Yamla Pagla Deewana	35	197	14-Jan-11	Hit	290000000	347200000	549375000
Garam Masala	392	198	2-Nov-05	Hit	170000000	141300000	290000000
Yeh Dillagi	3138	199	6-May-94	Hit	20000000	16300000	57200000
Chachi 420	2620	200	19-Dec-97	Hit	45000000	19600000	114200000
Piku - Motion Se Hi Emotion	2864	201	8-May-15	Hit	420000000	413200000	783850000
