	indx	film	id	rank	release_date	release_year	five_yr	verdict	verdict_rank	budget	first_week	tot_net_gross	budget_adjust	first_week_adjust	tot_net_gross_adjust	success_flop	profit_ratio	footfalls	screens	runtime	release_week	holiday_release	multiple_releases	genre	sequel_remake	production_banner	actors	directors	producers	music	lyrics	screenplay	dialogue	story	production_banner_exp	production_banner_hits	actors_exp	actors_hits	directors_exp	directors_hits	producers_exp	producers_hits	music_exp	music_hits	lyrics_exp	lyrics_hits	screenplay_exp	screenplay_hits	dialogue_exp	dialogue_hits	story_exp	story_hits	directors_awards	actors_awards	music_awards	lyrics_awards	screenplay_awards	dialogue_awards	story_awards
376	376	Khiladi 786	1199	384	2012-12-07	2012	2010	Average	4	63.0	46.37	64.545	105.84	77.902	108.436	0	2	9432000	2750	142	49	0	0	Comedy	0	Eros International|Hari Om Entertainment|HR Musik	Mithun Chakraborty|Akshay Kumar|Asin|Himesh Reshammiya	Ashish R. Mohan	Sunil Lulla|Himesh Reshammiya|Twinkle Khanna	Himesh Reshammiya	Shabbir Ahmed|Sameer	none	none	none	58.0	8.0	37.0	9.0	0.0	0.0	13.0	0.0	18.0	2.0	91.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
377	377	Humraaz	595	385	2002-07-05	2002	2000	Average	4	15.0	7.7	16.59	48.75	25.025	53.918	0	2	9128000	325	174	26	0	0	Thriller	0	Venus Records & Tapes Pvt. Ltd.	Bobby Deol|Akshaye Khanna|Ameesha Patel|Johny Lever	Abbas-Mustan	Ratan Jain|Ganesh Jain	Himesh Reshammiya	Sudhakar Sharma	Shyam Goel|Shiraz Ahmed	none	none	6.0	0.0	32.0	6.0	5.0	1.0	2.0	1.0	8.0	4.0	10.0	4.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
378	378	Arjun Pandit	2385	386	1999-08-20	1999	1995	Average	4	9.5	5.1	11.43	33.725	18.105	40.576	0	2	9118000	265	145	33	2	0	Action	0	Ratan International	none	none	none	none	none	none	none	none	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
379	379	Awara Paagal Deewana	597	387	2002-06-21	2002	2000	Average	4	13.0	7.66	16.015	42.25	24.895	52.049	0	2	8983000	325	164	24	0	0	Comedy	0	Base Industries Group	Akshay Kumar|Suneil Shetty|Aftab Shivdasani|Preeti Jhangiani	Vikram Bhatt	Firoz Nadiadwala	Anu Malik	Sameer	Mangesh Kulkarni|Anand Vardhan	Mangesh Kulkarni	none	2.0	0.0	47.0	1.0	2.0	1.0	1.0	0.0	53.0	10.0	104.0	17.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
380	380	Baby	2566	388	2015-01-23	2015	2015	Average	4	75.0	51.96	81.835	97.5	67.548	106.38600000000001	0	2	8976000	2450	159	3	0	1	Thriller	0	Cape Of Good Films Pvt. Ltd.|Crouching Tiger Motion Pictures|Friday Filmworks Pvt. Ltd.|T-Series	Akshay Kumar|Danny Denzongpa|Rana Daggubati|Taapsee Pannu	Neeraj Pandey	Bhushan Kumar|Shital Bhatia|Krishan Kumar	Meet Bros|M.M. Kreem	Manoj Muntashir	none	none	none	13.0	2.0	24.0	6.0	1.0	0.0	16.0	4.0	15.0	5.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
381	381	De Dana Dan	140	389	2009-11-27	2009	2005	Average	4	60.0	34.19	48.148	135.0	76.928	108.333	0	1	8942000	1550	164	47	0	0	Comedy	0	Eros International|Venus Records & Tapes Pvt. Ltd.	Akshay Kumar|Suneil Shetty|Katrina Kaif|Sameera Reddy	Priyadarshan	Girish Jain|Ganesh Jain	Pritam|RDB	Ashish Pandit|Sameer	none	none	none	36.0	5.0	61.0	13.0	9.0	5.0	6.0	2.0	39.0	10.0	127.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
382	382	R... Rajkumar	1925	389	2013-12-06	2013	2010	Average	4	58.0	46.68	65.99	87.58	70.487	99.645	0	2	8942000	2350	146	48	0	1	Action	0	Eros International|Next Gen Films	Shahid Kapoor|Sonakshi Sinha|Sonu Sood|Asrani	Prabhu Deva	Sunil Lulla|Viki Rajani	Pritam	Mayur Puri|Anupam Amod	Sunil Kumar Agrawal	none	none	54.0	8.0	19.0	4.0	2.0	2.0	13.0	1.0	54.0	14.0	11.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
383	383	Anjaam	3142	391	1994-04-22	1994	1995	Average	4	2.65	2.0380000000000003	4.985	15.29	11.759	28.763	1	2	8854000	170	165	16	0	0	Drama	0	Shiv Bharat Films	Madhuri Dixit|Shahrukh Khan|Deepak Tijori|Tinnu Anand	Rahul Rawail	Rita Rawail|Maharukh Johri	Anand-Milind	Sameer	Sutanu Gupta	Rumi Jaffery	none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
384	384	Kambakkht Ishq	141	392	2009-07-03	2009	2005	Average	4	65.0	33.1	47.09	146.25	74.475	105.95299999999999	0	1	8568000	1500	139	26	0	0	Rom - Com	0	Eros International|Nadiadwala Grandson Entertainment	Akshay Kumar|Kareena Kapoor|Aftab Shivdasani|Amrita Arora	Sabbir Khan	Sajid Nadiadwala	Anu Malik|RDB	RDB|Anvita Dutt	Ishita Mohitra	none	none	33.0	5.0	60.0	12.0	0.0	0.0	3.0	2.0	40.0	5.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
385	385	Qayamat	513	393	2003-07-11	2003	2000	Average	4	16.0	9.08	17.46	50.4	28.601999999999997	54.998999999999995	0	2	8393000	425	155	27	0	1	Action	0	Baweja Movies Pvt. Ltd.	Ajay Devgn|Suneil Shetty|Sanjay Kapoor|Arbaaz Khan	Harry Baweja	Pammi Baweja	Nadeem-Shravan	Sameer	Harry Baweja	Suparn Verma|Harry Baweja	none	1.0	0.0	52.0	4.0	3.0	0.0	2.0	0.0	18.0	1.0	106.0	15.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
