Holiday	Year	start_date	end_date
Diwali	2014	10/23/2014	10/23/2014
Holi	2014	3/16/2014	3/16/2014
Ganesh	2014	8/29/2014	8/29/2014
Navratri	2014	9/25/2014	9/25/2014
Dussehra	2014	10/3/2014	10/3/2014
Onam	2014	8/28/2014	9/8/2014
Eid al Fitr	2014	7/29/2014	7/30/2014
Republic Day	2014	1/26/2014	1/26/2014
Independence Day	2014	8/15/2014	8/15/2014
Gandhi Jayanti	2014	10/2/2014	10/2/2014
Durga	2015	10/20/2015	10/23/2015
Diwali	2015	11/11/2015	11/11/2015
Holi	2015	3/5/2015	3/5/2015
Ganesh	2015	9/17/2015	9/17/2015
Navratri	2015	10/13/2015	10/13/2015
Dussehra	2015	10/22/2015	10/22/2015
Onam	2015	8/18/2015	8/29/2015
Eid al Fitr	2015	7/18/2015	7/19/2015
Republic Day	2015	1/26/2015	1/26/2015
Independence Day	2015	8/15/2015	8/15/2015
Gandhi Jayanti	2015	10/2/2015	10/2/2015
Durga	2016	10/8/2016	10/11/2016
Diwali	2016	10/30/2016	10/30/2016
Holi	2016	3/23/2016	3/23/2016
Ganesh	2016	9/5/2016	9/5/2016
Navratri	2016	10/1/2016	10/1/2016
Dussehra	2016	10/11/2016	10/11/2016
Onam	2016	9/3/2016	9/15/2016
Eid al Fitr	2016	7/7/2016	7/8/2016
Republic Day	2016	1/26/2016	1/26/2016
Independence Day	2016	8/15/2016	8/15/2016
Gandhi Jayanti	2016	10/2/2016	10/2/2016
Durga	2017	9/27/2017	9/30/2017
Diwali	2017	10/19/2017	10/19/2017
Holi	2017	3/12/2017	3/12/2017
Ganesh	2017	8/25/2017	8/25/2017
Navratri	2017	9/21/2017	9/21/2017
Dussehra	2017	9/30/2017	9/30/2017
Onam	2017	8/24/2017	9/5/2017
Eid al Fitr	2017	6/26/2017	6/27/2017
Republic Day	2017	1/26/2017	1/26/2017
Independence Day	2017	8/15/2017	8/15/2017
Gandhi Jayanti	2017	10/2/2017	10/2/2017
Durga	2018	10/16/2018	10/19/2018
Diwali	2018	11/7/2018	11/7/2018
Holi	2018	3/1/2018	3/1/2018
Ganesh	2018	9/13/2018	9/13/2018
Navratri	2018	10/10/2018	10/10/2018
Dussehra	2018	10/19/2018	10/19/2018
Onam	2018	8/14/2018	8/26/2018
Eid al Fitr	2018	6/15/2018	6/16/2018
Republic Day	2018	1/26/2018	1/26/2018
Independence Day	2018	8/15/2018	8/15/2018
Gandhi Jayanti	2018	10/2/2018	10/2/2018
Durga	2019	10/5/2019	10/8/2019
Diwali	2019	10/27/2019	10/27/2019
Holi	2019	3/20/2019	3/20/2019
Ganesh	2019	9/2/2019	9/2/2019
Navratri	2019	9/29/2019	9/29/2019
Dussehra	2019	10/8/2019	10/8/2019
Onam	2019	9/1/2019	9/12/2019
Eid al Fitr	2019	6/5/2019	6/6/2019
Republic Day	2019	1/26/2019	1/26/2019
Independence Day	2019	8/15/2019	8/15/2019
Gandhi Jayanti	2019	10/2/2019	10/2/2019
