indx	film	id	screens	runtime	genre	sequel_remake	production_banner	actors	directors	producers	music	lyrics	screenplay	dialogue	story
259	Raees	3460	3400	143	Action	0	Excel Entertainment|Red Chillies Entertainment	Shahrukh Khan|Nawazuddin Siddiqui|Mahira Khan|Mohammed Zeeshan Ayyub	Rahul Dholakia	Gauri Khan|Farhan Akhtar|Ritesh Sidhwani	Ram Sampath	Javed Akhtar	Ashish Vashi	none	none
260	Chori Chori Chupke Chupke	662	295	166	Romance	1	Emaar Films International	Salman Khan|Rani Mukherjee|Preity Zinta|Amrish Puri	Abbas-Mustan|Abbas-Mustan	Nazim Hassan Rizvi|Nazim Hassan Rizvi	Anu Malik|Anu Malik	Sameer	none	none	none
261	Race 2	1223	3200	140	Thriller	1	Tips Industries Pvt. Ltd.|UTV Motion Pictures	Anil Kapoor|Saif Ali Khan|John Abraham|Deepika Padukone	Abbas-Mustan	Ramesh S. Taurani	Pritam	Mayur Puri|Prashant Ingole	Shiraz Ahmed	Shiraz Ahmed	none
262	Major Saab	2556	240	156	Action	0	AB Corp Ltd.	Amitabh Bachchan|Ajay Devgn|Sonali Bendre|Nafisa Ali	Tinnu Anand	none	Anand Raj Anand|Aadesh Shrivastava	Dev Kohli|Anand Raj Anand	Robin Bhatt|Santosh Saroj	none	none
263	Yeshwant	2705	215	144	Drama	0	Shalimar International	Nana Patekar|Madhoo|Atul Agnihotri|Mohan Joshi	Anil Mattoo	Vijay K. Ranglani|Narottam V. Purohit	Anand-Milind	Sameer	Anil Mattoo	Hriday Lani	none
264	Talaash	1197	2550	142	Thriller	0	Aamir Khan Productions|Excel Entertainment|Reliance Entertainment	Aamir Khan|Rani Mukherjee|Kareena Kapoor|Nawazuddin Siddiqui	Reema Kagti	Aamir Khan|Farhan Akhtar|Ritesh Sidhwani	Ram Sampath	Javed Akhtar	Reema Kagti	none	none
265	Welcome Back	2987	3200	150	Comedy	0	Base Industries Group|Eros International|Swiss Entertainment Pvt. Ltd.	Anil Kapoor|Nana Patekar|John Abraham|Shruti Hassan	Anees Bazmee	Firoz Nadiadwala	Meet Bros|Mika Singh|Anu Malik|Siddhant Madhav|Abhishek Ray	none	none	none	none
266	Gabbar Is Back	2860	3100	130	Action	0	Sanjay Leela Bhansali Films|Viacom 18 Motion Pictures	Akshay Kumar|Shruti Hassan|Suman Talwar|Jaideep Ahlawat	Krish	Sanjay Leela Bhansali	Chirantan Bhatt|Manj Musik|Honey Singh	Kumaar|Manj Musik	none	none	none
267	Kabhi Alvida Na Kehna	364	800	192	Drama	0	Dharma Productions Pvt. Ltd.	Amitabh Bachchan|Shahrukh Khan|Abhishek Bachchan|Rani Mukherjee	Karan Johar	Hiroo Johar	Shankar-Ehsaan-Loy	Javed Akhtar	Karan Johar	Karan Johar|Shibani Bathija	none
268	Fiza	721	275	178	Drama	0	The Culture Company|UTV Motion Pictures	Jaya Bachchan|Karisma Kapoor|Hrithik Roshan|Neha	Khalid Mohamed	Pradeep Guha	A.R. Rahman|Anu Malik	Gulzar|Sameer|Tejpal Kaur	none	none	none
269	Diljale	2756	225	163	Action	0	S.P. Creations	Ajay Devgn|Madhoo|Sonali Bendre|Parmeet Sethi	Harry Baweja	Pammi Baweja	Anu Malik	Javed Akhtar	Karan Razdan	Karan Razdan	Karan Razdan
270	Jab Pyaar Kisise Hota Hai	2568	175	164	Romance	0	Tips Industries Pvt. Ltd.	Salman Khan|Twinkle Khanna|Johny Lever|Anupam Kher	Deepak Sareen	Ramesh S. Taurani|Kumar S. Taurani	Jatin-Lalit	Anand Bakshi	Honey Irani	Javed Siddique	none
271	Tees Maar Khan	76	2200	136	Comedy	0	Hari Om Entertainment|Three's Company|UTV Motion Pictures	Akshay Kumar|Katrina Kaif|Akshaye Khanna|Arya Babbar	Farah Khan	Ronnie Screwvala|Shirish Kunder|Twinkle Khanna	Vishal-Shekhar	Anvita Dutt|Vishal Daldani	none	none	none
272	Jodhaa Akbar	186	1000	213	Romance	0	Ashutosh Gowariker Productions|UTV Motion Pictures	Hrithik Roshan|Aishwarya Rai|Sonu Sood|Suhasini Mulay	Ashutosh Gowariker	Ronnie Screwvala|Ashutosh Gowariker	A.R. Rahman	Javed Akhtar	Ashutosh Gowariker|Haider Ali	none	none
273	Vaastav	2364	235	147	Action	0	Adishakti Films	Sanjay Dutt|Namrata Shirodkar|Mohnish Bahl|Ektaa	Mahesh Manjrekar	Deepak Nikalje	Jatin-Lalit	Sameer	Mahesh Manjrekar	Imtiaz Hussain	Mahesh Manjrekar
274	Namastey London	224	775	132	Romance	0	Blockbuster Movie Entertainers|Eros International	Akshay Kumar|Katrina Kaif|Rishi Kapoor|Clive Standen	Vipul Amrutlal Shah	Vipul Amrutlal Shah	Himesh Reshammiya	Javed Akhtar	Suresh Nair	Suresh Nair	Ritesh Shah
275	Jaanwar	2264	220	168	Action	0	Shree Krishna International	Akshay Kumar|Karisma Kapoor|Shilpa Shetty|Mohnish Bahl	Suneel Darshan	Suneel Darshan	Anand-Milind	Sameer	Robin Bhatt	K.K. Singh	none
276	Khuddar	3158	160	167	Action	0	Ratan International	Govinda|Karisma Kapoor|Shakti Kapoor|Kader Khan	Iqbal Durrani	N.R. Pachisia	Anu Malik	Indeevar|Dev Kohli|Zamir Qazmi|Rahat Indori	none	none	none
277	Gunday	2149	2700	153	Romance	0	Yash Raj Films	Ranveer Singh|Arjun Kapoor|Priyanka Chopra|Irrfan Khan	Ali Abbas Zafar	Aditya Chopra	Sohail Sen	Irshad Kamil	Ali Abbas Zafar	Sanjay Masoom|Ali Abbas Zafar	none
278	Ta Ra Rum Pum	341	725	156	Drama	0	Yash Raj Films	Saif Ali Khan|Rani Mukherjee|Shruti Seth|Victor Banerjee	Siddharth Anand	Aditya Chopra	Vishal-Shekhar	Javed Akhtar	Siddharth Anand	Habib Faisal	Habib Faisal
279	Rockstar	31	1950	159	Drama	0	Eros International|Shree Ashtavinayak Cinevision Ltd.	Ranbir Kapoor|Nargis Fakhri|Shammi Kapoor|Aditi Rao Hydari	Imtiaz Ali	Dillion Mehta	A.R. Rahman	Irshad Kamil	Imtiaz Ali|Muazzam Beg	Imtiaz Ali	none
280	Mr. & Mrs. Khiladi	2641	190	142	Comedy	0	DMS Films Pvt. Ltd.	Akshay Kumar|Juhi Chawla|Kader Khan|Paresh Rawal	David Dhawan	Keshu Ramsay	Anu Malik	Dev Kohli|Anu Malik|Hasrat Jaipuri	Rumi Jaffery	none	none
281	Hogi Pyar Ki Jeet	2424	195	156	Romance	0	Shweta International	Ajay Devgn|Arshad Warsi|Neha|Mayuri Kango	P. Vasu	Anil Sharma	Anand-Milind	Sameer	Anwar Khan	Anwar Khan	P. Vasu
282	De De Pyaar De	5651	3000	135	Romance	0	Luv Films|T-Series	Ajay Devgn|Tabu|Rakul Preet Singh|Alok Nath	Akiv Ali	Ankur Garg|Krishan Kumar|Bhushan Kumar|Luv Ranjan	Garry Sandhu|Tanishk	none	none	none	none
283	Dhamaal	239	800	131	Comedy	0	Maruti International	Sanjay Dutt|Arshad Warsi|Riteish Deshmukh|Aashish Chaudhary	Indra Kumar	Ashok Thakeria|Indra Kumar	Adnan Sami	Sameer	Paritosh Painter	Balvinder Singh Suri	none
284	Loafer	2795	180	137	Romance	0	S.K. Films Enterprises	Anil Kapoor|Juhi Chawla|Gulshan Grover|Shakti Kapoor	David Dhawan	Surinder Kapoor	Anand-Milind	Sameer|Nitin Raikwar	P. Vasu	Jalees Sherwani	none
285	Ghulam-E-Musthafa	2634	235	152	Drama	0	S.G.S. Cine Arts International	Nana Patekar|Raveena Tandon|Paresh Rawal|Aruna Irani	Partho Ghosh	P.G. Shreekanth	Rajesh Roshan	Anand Bakshi	Mangesh Kulkarni|Imtiaz Hussain	Mangesh Kulkarni	none
286	Maine Pyaar Kyun Kiya?	393	450	145	Comedy	0	Shree Ashtavinayak Cinevision Ltd.|Sohail Khan Productions	Salman Khan|Sushmita Sen|Katrina Kaif|Sohail Khan	David Dhawan	Sohail Khan|Dhilin Mehta	Himesh Reshammiya	Sameer	Rumi Jaffery|Sanjay Chhel	none	none
287	Anari No.1	2431	210	163	Comedy	0	A.K. International	Govinda|Raveena Tandon|Simran|Aruna Irani	Kuku Kohli	Aruna Irani	Dilip Sen-Sameer Sen	Dev Kohli	Kuku Kohli	Kader Khan	Kuku Kohli
288	Bhai	2633	225	152	Action	0	Yashish Enterprises	Suneil Shetty|Sonali Bendre|Pooja Batra|Shakti Kapoor	Deepak Shivdasani	Deepak Shivdasani	Anand-Milind	Sameer	Kader Khan	Kader Khan	Kader Khan
289	Student Of The Year	1155	1350	141	Romance	0	Dharma Productions Pvt. Ltd.|Red Chillies Entertainment	Sidharth Malhotra|Varun Dhawan|Alia Bhatt|Rishi Kapoor	Karan Johar	Hiroo Johar|Gauri Khan	Vishal-Shekhar	Anvita Dutt	Karan Johar	Renzil D'Silva	none
290	Special 26	1237	1600	143	Thriller	0	Friday Filmworks Pvt. Ltd.|Viacom 18 Motion Pictures|Wide Frame Pictures	Akshay Kumar|Kajal Aggarwal|Jimmy Shergill|Manoj Bajpai	Neeraj Pandey	Kumar Mangat|Shital Bhatia	M.M. Kreem	Irshad Kamil	Neeraj Pandey	Neeraj Pandey	none
291	Saajan Ka Ghar	3141	125	156	Drama	0	Roopvati Pictures	Rishi Kapoor|Juhi Chawla|Deepak Tijori|Farheen	Surendra Kumar Bohra	Farooq|Surendra Kumar Bohra|Nutan	Nadeem-Shravan	Sameer|Pandit Diwaker	none	none	none
292	Shootout At Lokhandwala	225	800	145	Action	0	Balaji Motion Pictures|White Feather Films	Sanjay Dutt|Amitabh Bachchan|Arbaaz Khan|Suneil Shetty	Apoorva Lakhia	Sanjay Gupta|Ekta Kapoor|Shobha Kapoor	Strings|Mika Singh|Palash Sen	none	none	none	none
293	Sarkar	396	425	123	Drama	0	K Sera Sera Productions Ltd.|Ram Gopal Varma Productions	Amitabh Bachchan|Abhishek Bachchan|Kay Kay Menon|Katrina Kaif	Ram Gopal Verma	Ram Gopal Verma|Parag Sanghavi	Bappi-Tutal	Sandeep Nath	Manish Gupta	Manish Gupta	none
294	Anth	3110	130	141	Action	0	Ashok Honda Productions	Suneil Shetty|Somy Ali|Paresh Rawal|Mohan Joshi	Sanjay Khanna	Ashok Honda	Anand-Milind	Sameer	Dilip Shukla	Dilip Shukla	Dilip Shukla
295	Sui Dhaaga - Made In India	3918	2500	122	Drama	0	Yash Raj Films	Varun Dhawan|Anushka Sharma|Raghuvir Yadav|Yasmin Das	Sharat Katariya	Maneesh Sharma	Anu Malik	Varun Grover	Sharat Katariya	Sharat Katariya	Sharat Katariya
296	Cheetah	3105	130	138	Action	0	Aabha Films	Mithun Chakraborty|Ashwini Bhave|Shikha Swaroop|Gulshan Grover	Harmesh Malhotra	Rajiv Babbar	Jatin-Lalit	Dev Kohli|Anwar Sagar|Zamir Qazmi|Manoj Darpan	none	none	none
297	Tere Naam	517	375	136	Romance	0	MAD Entertainment	Salman Khan|Bhoomika Chawla|Sachin Khedekar|Savita Prabhune	Satish Kaushik	Mukesh Talreja|Sunil Manchanda	Himesh Reshammiya	Sameer	Bala	Jainendra Jain	none
298	Dear Zindagi	3430	1150	149	Drama	0	Dharma Productions Pvt. Ltd.|Hope Productions Pvt. Ltd.|Red Chillies Entertainment	Alia Bhatt|Shahrukh Khan|Kunal Kapoor|Ali Zafar	Gauri Shinde	Gauri Shinde|Karan Johar|Gauri Khan	Amit Trivedi	Kausar Munir	Krishna Hariharan	none	none
299	Gopi Kishen	3055	165	165	Romance	0	Prince & Prince International	Suneil Shetty|Shilpa Shirodkar|Karisma Kapoor|Aruna Irani	Mukesh Duggal	Mukesh Duggal	Anand-Milind	Sameer	Anees Bazmee	Anees Bazmee	Anees Bazmee
300	Bachna Ae Haseeno	323	800	152	Romance	0	Yash Raj Films	Ranbir Kapoor|Deepika Padukone|Bipasha Basu|Minissha Lamba	Siddharth Anand	Aditya Chopra	Vishal-Shekhar	Anvita Dutt	Aditya Chopra	Devika Bhagat	Anvita Dutt
301	Main Tera Hero	2219	2400	128	Comedy	0	Balaji Motion Pictures	Varun Dhawan|Ileana D'Cruz|Nargis Fakhri|Arunoday Singh	David Dhawan	Ekta Kapoor|Shobha Kapoor	Sajid Wajid	Kumaar|Kausar Munir|Danish Sabri	none	none	none
302	Parmanu - The Story Of Pokhran	3772	1900	129	Drama	0	JA Entertainment Pvt. Ltd.|Kyta Productions|Zee Studios	John Abraham|Diana Penty|Boman Irani|Anuja Sathe	Abhishek Sharma	none	Sachin-Jigar	Sachin Sanghvi|Vayu	Abhishek Sharma|Saiwyn Qadras|Sanyukta Chawla	none	none
303	36 China Town	267	450	135	Thriller	0	Mukta Arts	Akshaye Khanna|Kareena Kapoor|Shahid Kapoor|Upen Patel	Abbas-Mustan	Subhash Ghai	Himesh Reshammiya	none	Shyam Goel	Shyam Goel	Anurag Prapanna|Jitendra Parmar
304	Jallaad	2935	175	155	Action	0	Aabha Films	Mithun Chakraborty|Madhoo|Rambha|Moushumi Chatterjee	T.L.V. Prasad	Rajiv Babbar	Anand-Milind	Sameer	T.L.V. Prasad	Anirudh Tiwari	Manivanan
305	Jannat 2	19	2050	138	Thriller	1	Fox Star Studio India Pvt. Ltd.|Vishesh Films Pvt. Ltd.	Emraan Hashmi|Randeep Hooda|Esha Gupta|Manish Chaudhary	Kunal Deshmukh	Mukesh Bhatt|Mahesh Bhatt	Pritam	Sanjay Masoom|Sayeed Quadri|Mayur Puri	none	none	none
306	Kabhi Haan Kabhi Naa	3169	100	154	Romance	0	Legend Films	Shahrukh Khan|Deepak Tijori|Suchitra Krishnamurthy|Naseeruddin Shah	Kundan Shah	Vikram Mehrohtra	Jatin-Lalit	Majrooh Sultanpuri	Kundan Shah	Ranjit Kapoor	Kundan Shah
307	Ki & Ka	3259	1600	126	Romance	0	Eros International|Hope Productions Pvt. Ltd.	Kareena Kapoor|Arjun Kapoor|Swaroop Sampat|Rajit Kapoor	R. Balki	R.K. Damani|Rakesh Jhunjhunwala|R. Balki|Sunil Lulla	Mithoon|Meet Bros	none	none	none	none
308	Salaami	3161	65	143	Romance	0	Tess Mirza Films Pvt. Ltd.	Ayub Khan|Samyukta Singh|Roshni Jaffery|Kabir Bedi	Sharookh Mirza	Tess Mirza	Nadeem-Shravan	Sameer|Surendra Sathi|Anwar Sagar|Madan Pal	none	none	none
309	Raaz - The Mystery Continues	150	1150	150	Thriller	1	SPE Films India Pvt. Ltd.|Vishesh Films Pvt. Ltd.	Kangana Ranaut|Emraan Hashmi|Adhyayan Suman|Jackie Shroff	Mohit Suri	Mukesh Bhatt	Toshi-Sharib|Raju Singh|Pranay Rijia|Gourov Dasgupta	Sayeed Quadri	none	none	none
310	Jism 2	770	1700	133	Thriller	1	Clockwork Films Pvt. Ltd.|Fish Eye Network Pvt. Ltd.	Sunny Leone|Randeep Hooda|Arunoday Singh|Arif Zakaria	Pooja Bhatt	Pooja Bhatt|Dino Morea	Munish Makhija|Arko Pravo Mukherjee|Abdul Basith|Unoosha	none	none	none	none
311	Apaharan	274	425	173	Action	0	Holy Cow Pictures|Prakash Jha Productions	Ajay Devgn|Nana Patekar|Bipasha Basu|Yashpal Sharma	Prakash Jha	Prakash Jha	Aadesh Shrivastava|Wayne Sharpe| Lyrics|Aadesh Shrivastava	none	Prakash Jha	Prakash Jha	none
312	102 Not Out	3759	1300	102	Comedy	0	Benchmark Pictures|Sony Pictures Network|SPE Films India Pvt. Ltd.|Treetop International	Amitabh Bachchan|Rishi Kapoor|Jimmit Trivedi|Dharmendra Gohil	Umesh Shukla	none	Salim-Sulaiman	Saumya Joshi|Hiral Brahmbhatt	Saumya Joshi	Saumya Joshi|Jigna Vyas	none
313	Shapath	2623	165	144	Action	0	Aabha Films	Mithun Chakraborty|Jackie Shroff|Ramya Krishnan|Vineeta	Rajiv Babbar	Rajiv Babbar	Anand-Milind	Sameer	Sanjay Kumar	Anwar Khan	Sanjay Kumar
314	Yaariyan	2067	1400	145	Romance	0	T-Series	Himansh Kohli|Rakul Preet Singh|Devanshu Sharma|Nicole Faria	Divya Khosla	Bhushan Kumar|Krishan Kumar	Honey Singh|Pritam|Mithoon|Arko Pravo Mukherjee	none	none	none	none
315	Tujhe Meri Kasam	539	110	167	Romance	0	Ushakiron Movies	Riteish Deshmukh|Genelia D'Souza|Raja Bherwani|Shriya Saran	K. Vijaya Bhaskar	Ramoji Rao	Viju Shah	Mehboob	Kamal	K. Vijaya Bhaskar	Neeraj Vora
316	Paa	148	600	133	Drama	0	AB Corp Ltd.|MAD Entertainment|Reliance Entertainment	Amitabh Bachchan|Abhishek Bachchan|Vidya Balan|Paresh Rawal	R. Balki	Sunil Manchanda	Ilaiyaraja	Swanand Kirkire	R. Balki	R. Balki	R. Balki
317	Kai Po Che	1250	900	126	Drama	0	UTV Motion Pictures	Rajkummar Rao|Sushant Singh Rajput|Amit Sadh|Amrita Puri	Abhishek Kapoor	Ronnie Screwvala|Siddharth Roy Kapur	Amit Trivedi	Swanand Kirkire	Chetan Bhagat	Abhishek Kapoor	none
318	Hungama	518	210	146	Comedy	0	Venus Records & Tapes Pvt. Ltd.	Akshaye Khanna|Paresh Rawal|Rimi Sen|Shakti Kapoor	Priyadarshan	Ganesh Jain|Pooja Galani	Nadeem-Shravan	none	Priyadarshan	Priyadarshan	Neeraj Vora
319	Taxi Number 9 2 11	374	400	116	Drama	0	Ramesh Sippy Entertainment	Nana Patekar|John Abraham|Sonali Kulkarni|Sameera Reddy	Milan Luthria	Ramesh Sippy	Vishal-Shekhar	Dev Kohli|Vishal Daldani	Rajat Arora	Rajat Arora	none
320	ABCD - Any Body Can Dance	1238	1000	143	Drama	0	UTV Motion Pictures	Prabhu Deva|Kay Kay Menon|Dharmesh Yelande|Salman Yusuff Khan	Remo D'Souza	Siddharth Roy Kapur|Ronnie Screwvala	Sachin-Jigar	Mayur Puri|Priya Panchal	Remo D'Souza	none	none
321	Bluffmaster	283	350	137	Thriller	0	Ramesh Sippy Entertainment	Abhishek Bachchan|Priyanka Chopra|Riteish Deshmukh|Nana Patekar	Rohan Sippy	Ramesh Sippy	Vishal-Shekhar	Vishal Daldani|Jaideep Sahni|Shekhar Ravjiani	Shridhar Raghavan	none	none
322	Sirf Tum	2417	80	165	Romance	0	Narsimha Enterprises	Sanjay Kapoor|Priya Gill|Mohnish Bahl|Johny Lever	Ahathian	Boney Kapoor	Nadeem-Shravan	Sameer	Ahathian	Anees Bazmee	Ahathian
323	English Vinglish	1144	700	136	Drama	0	Eros International|Hope Productions Pvt. Ltd.	Sridevi|Adil Hussain|Priya Anand|Sulbha Deshpande	Gauri Shinde	Sunil Lulla|Rakesh Jhunjhunwala|R.K. Damani|R. Balki	Amit Trivedi	Swanand Kirkire	none	none	none
324	Mardaani 2	5741	1650	106	Drama	1	Yash Raj Films	Rani Mukherjee|Vishal Jethwa|Sumeet Nijhawan|K.C. Shankar	Gopi Puthran	Aditya Chopra	none	none	Gopi Puthran	Gopi Puthran	Gopi Puthran
325	Wake Up Sid	157	500	137	Drama	0	Dharma Productions Pvt. Ltd.	Ranbir Kapoor|Konkona Sen Sharma|Anupam Kher|Supriya Pathak	Ayan Mukherji	Karan Johar|Hiroo Johar	Amit Trivedi|Shankar-Ehsaan-Loy	Javed Akhtar	Ayan Mukherji	none	none
326	Shubh Mangal Saavdhan	3591	1300	105	Comedy	0	Colour Yellow Picture Ltd.|Eros International	Ayushman Khurana|Bhumi Pednekar|Seema Pahwa|Neeraj Sood	R.S. Prasanna	Krishika Lulla|Anand L. Rai	Vayu|Tanishk	Tanishk|Vayu	none	Hitesh Kewalya	none
327	Fukrey	1284	1000	143	Comedy	0	Excel Entertainment	Pulkit Samrat|Manjot Singh|Ali Fazal|Varun Sharma	Mrighdeep Singh Lamba	Farhan Akhtar|Ritesh Sidhwani	Ram Sampath	Munna Dhiman|Vipul Veg|Mrighdeep Singh Lamba	none	none	none
328	Mere Yaar Ki Shaadi Hai	616	150	159	Romance	0	Yash Raj Films	Uday Chopra|Jimmy Shergill|Tulip Joshi|Alok Nath	Sanjay Gadhvi	Yash Chopra	Jeet-Pritam	Javed Akhtar	Mayur Puri|Sanjay Gadhvi	Mayur Puri	none
329	No One Killed Jessica	44	950	134	Thriller	0	UTV Motion Pictures	Rani Mukherjee|Vidya Balan|Myra Karn|Neil Bhoopalam	Raj Kumar Gupta	Ronnie Screwvala	Amit Trivedi	Amitabh Bhattacharya	Raj Kumar Gupta	Raj Kumar Gupta	Raj Kumar Gupta
330	Mardaani	2296	1250	113	Thriller	0	Yash Raj Films	Rani Mukherjee|Tahir Bhasin|Jishu Sengupta|Anant Sharma	Pradeep Sarkar	Aditya Chopra	Salim-Sulaiman	Kausar Munir	Gopi Puthran	Gopi Puthran	Vibha Singh
331	Chandaal	2590	150	133	Action	0	Aabha Films	Mithun Chakraborty|Sneha|Emesha Nagi|Rami Reddy	T.L.V. Prasad	Rajiv Babbar	Anand-Milind	Dev Kohli	none	Anirudh Tiwari	none
332	Ishqiya	97	600	149	Romance	0	Shemaroo Entertainment|Vishal Bhardwaj Pictures	Naseeruddin Shah|Vidya Balan|Arshad Warsi|Salman Shahid	Abhishek Chaubey	Vishal Bhardwaj|Raman Maroo	Vishal Bhardwaj	Gulzar	Abhishek Chaubey|Sabrina Dhawan	none	none
333	Ferrari Ki Sawaari	179	875	140	Drama	0	Eros International|Vidhu Vinod Chopra Productions	Sharman Joshi|Boman Irani|Ritvik Sahore|Paresh Rawal	Rajesh Mapuskar	Vidhu Vinod Chopra	Pritam	Guru Thakur|Amitabh Bhattacharya|Swanand Kirkire|Satyanshu	none	none	none
334	Apna Sapna Money Money	275	450	134	Comedy	0	Mukta Arts	Jackie Shroff|Suneil Shetty|Riteish Deshmukh|Shreyas Talpade	Sangeeth Sivan	Raju Farooqui	Pritam	Shabbir Ahmed	Pankaj Trivedi	Pankaj Trivedi	Sachin Shah
335	Gangster - A Love Story	362	300	123	Romance	0	Vishesh Films Pvt. Ltd.	Emraan Hashmi|Shiney Ahuja|Kangana Ranaut|Gulshan Grover	Anurag Basu	Mukesh Bhatt	Pritam	Mayur Puri|Neelish Misra|Sayeed Quadri	Mahesh Bhatt	none	none
336	Julie	467	270	142	Drama	0	V.R. Enterprises Pvt. Ltd.	Neha Dhupia|Priyanshu Chatterjee|Yash Tonk|Sanjay Kapoor	Deepak Shivdasani	N.R. Pachisia	Himesh Reshammiya	Sameer	Deepak Shivdasani	Nishikant Kamat	Sanjay Pawar
337	Talvar	3058	675	132	Drama	0	Junglee Pictures|Vishal Bhardwaj Pictures	Irrfan Khan|Konkona Sen Sharma|Neeraj Kabi|Sohum Shah	Meghna Gulzar	Vishal Bhardwaj|Vineet Jain	Vishal Bhardwaj	Gulzar	Vishal Bhardwaj	Vishal Bhardwaj	none
338	NH 10	2748	1000	114	Drama	0	Clean Slate Films|Eros International|Phantom Films	Anushka Sharma|Neil Bhoopalam|Deepti Naval|Darshan Kumaar	Navdeep Singh	Anushka Sharma|Vikramaditya Motwane|Vikas Bahl|Anurag Kashyap|Krishika Lulla|Karnesh Sharma	none	none	none	none	none
339	Style	683	100	159	Comedy	0	N. Chandra Productions Pvt. Ltd.	Sharman Joshi|Sahil Khan|Riya Sen|Shilpi Mudgal	N. Chandra	N. Chandra	Sanjeev-Darshan	Nitin Raikwar|Abbas Katka|Tejpal Kaur	N. Chandra	none	none
340	Cheeni Kum	347	250	140	Romance	0	Eros International|MAD Entertainment	Amitabh Bachchan|Tabu|Paresh Rawal|Zohra Sehgal	R. Balki	Sunil Manchanda	Ilaiyaraja	Sameer|Manoj Tapadia	R. Balki	R. Balki	none
341	1920 - Evil Returns	1173	1300	124	Thriller	0	ASA Productions & Enterprises Pvt. Ltd.|BVG Films	Aftab Shivdasani|Tia Bajpai|Vidya Mallavde|Sharad Kelkar	Bhushan Patel	none	Chirantan Bhatt	Shakeel Azmi|Junaid Wasi|Manoj Yadav	Vikram Bhatt|Amin Hajee	none	none
342	Dum Laga Ke Haisha	2718	775	111	Comedy	0	Yash Raj Films	Ayushman Khurana|Bhumi Pednekar|Sanjay Mishra|Alka Amin	Sharat Katariya	Maneesh Sharma	Anu Malik	Varun Grover	Sharat Katariya	Sharat Katariya	Sharat Katariya
343	Ab Tak Chhappan	440	230	129	Drama	0	K Sera Sera Productions Ltd.|Ram Gopal Varma Productions	Nana Patekar|Yashpal Sharma|Prasad Purandare|Nakul Vaid	Shimit Amin	Ram Gopal Verma	Salim-Sulaiman	none	Sandeep Srivastava	Sandeep Srivastava|Shimit Amin	Sandeep Srivastava
344	Aastha	2715	25	132	Drama	0	Aarohi Film Makers	Rekha|Om Puri|Dinesh Thakur|Anwesha Bhattacharya	Basu Bhattacharya	Basu Bhattacharya	Sharang Dev	Gulzar	Gaurab Pandey|Basu Bhattacharya	Dinesh Thakur	none
345	Life In A Metro	348	225	132	Drama	0	UTV Motion Pictures	Dharmendra|Irrfan Khan|Konkona Sen Sharma|Kay Kay Menon	Anurag Basu	Ronnie Screwvala	Pritam	Sandeep Srivastava|Sayeed Quadri|Amitabh Verma	Anurag Basu	none	none
346	Aksar	271	325	119	Thriller	0	Siddhi Vinayak Movies	Dino Morea|Emraan Hashmi|Udita Goswami|Rajat Bedi	Anant Mahadevan	Narendra Bajaj	Himesh Reshammiya	Sameer	Sujit Sen	Sujit Sen	Abbas Hirapurwala
347	Newton	3609	450	106	Drama	0	Colour Yellow Picture Ltd.|Drishyam Films|Eros International	Rajkummar Rao|Pankaj Tripathi|Anjali Patil|Raghuvir Yadav	Amit Masurkar	Manish Mundra	Rachita Arora	Irshad Kamil	Amit Masurkar|Mayank Tewari	Amit Masurkar	Amit Masurkar
348	Chandni Bar	682	60	150	Drama	0	Shlok Films	Tabu|Atul Kulkarni|Rajpal Yadav|Shri Vallabh Vyas	Madhur Bhandarkar	Lata Mohan	Raju Singh	none	Madhur Bhandarkar	Mohan Azaad	Mohan Azaad|Masud Mirza
349	Kalyug	421	225	126	Drama	0	Vishesh Films Pvt. Ltd.	Amrita Singh|Kunal Khemu|Deepal Shaw|Smilie Suri	Mohit Suri	Mukesh Bhatt	Anu Malik	Sayeed Quadri|Asim Raza	Mohit Suri	Anand Shivkumran	none
350	Paan Singh Tomar	15	300	135	Drama	0	UTV Motion Pictures	Irrfan Khan|Mahie Gill	Tigmanshu Dhulia	Ronnie Screwvala	Abhishek Ray	none	Tigmanshu Dhulia|Sanjay Chauhan	Tigmanshu Dhulia|Sanjay Chauhan	none
351	Page 3	417	50	139	Drama	0	Light House Films Pvt. Ltd.	Konkona Sen Sharma|Atul Kulkarni|Sandhya Mridul|Tara Sharma	Madhur Bhandarkar	Bobby Pushkarna	Shamir Tandon	Sandeep Nath|Ajay Jhingran	none	Manoj Tyagi|Nina Arora	none
352	Ragini MMS	62	650	97	Thriller	0	ALT Entertainment|Balaji Motion Pictures|iRock Films	Rajkummar Rao|Kainaz Motivala|Janice|Rajat	Pawan Kirpalani	Ekta Kapoor|Shobha Kapoor	Agnel Roman|Faizan Hussain	Agnel Roman|Faizan Hussain	none	none	none
353	Munnibai	2397	50	113	Action	0	Gulab Films	Dharmendra|Sapna|Durgesh Nandini|Mohan Joshi	Kanti Shah	Gulab Shaikh	Sawan Kumar Sawan	Dev Kohli|Satya Prakash|Zail Singh	Kanchan Ramani	none	none
354	Love Sex Aur Dhokha	102	525	102	Other	0	ALT Entertainment|Freshwater Films	Rajkummar Rao|Nushrat Bharucha|Anshuman Jha|Neha Chauhan	Dibakar Banerjee	Ekta Kapoor|Priya Sreedharan	Sneha Khanwalkar	Dibakar Banerjee|Sneha Khanwalkar	Dibakar Banerjee	none	none
