indx	film	id	screens	runtime	genre	sequel_remake	production_banner	actors	directors	producers	music	lyrics	screenplay	dialogue	story
1231	Om Jai Jagadish	627	250	180	Drama	0	Puja Entertainment Ltd.	Waheeda Rehman|Anil Kapoor|Fardeen Khan|Abhishek Bachchan	Anupam Kher	Vashu Bhagnani	Anu Malik	Sameer	Rahul Nanda	Rahul Nanda	Rumi Jaffery
1232	Naqaab	255	825	121	Thriller	0	Tips Industries Pvt. Ltd.	Bobby Deol|Akshaye Khanna|Urvashi Sharma|Vikas Kalantri	Abbas-Mustan	Ramesh S. Taurani|Kumar S. Taurani	Pritam	Sameer	Shiraz Ahmed	Shiraz Ahmed	none
1233	Pagalpanti	5737	2800	165	Comedy	0	Panorama Studios|T-Series	Anil Kapoor|John Abraham|Ileana D'Cruz|Arshad Warsi	Anees Bazmee	Bhushan Kumar|Abhishek Pathak|Krishan Kumar|Kumar Mangat	Tanishk|Honey Singh	none	none	none	none
1234	Panipat	5740	2400	163	Drama	0	Ashutosh Gowariker Productions|Reliance Entertainment	Sanjay Dutt|Arjun Kapoor|Kriti Sanon|Padmini Kolhapure	Ashutosh Gowariker	Sunita Gowariker|Rohit Shelatkar	Ajay-Atul	Javed Akhtar	Aditya Rawal|Ranjeet Bahadur	none	none
1235	Chaand Kaa Tukda	3087	140	155	Romance	0	Saawan Kumar Productions	Sridevi|Salman Khan|Anupam Kher|Raza Murad	Saawan Kumar Tak	Saawan Kumar Tak	Mahesh-Kishor	Saawan Kumar Tak	Sachin Bhowmick	Anwar Khan	Saawan Kumar Tak
1236	Kanoon	3148	115	146	Action	0	Shiromanee Chitra	Ajay Devgn|Urmila Matondkar|Gulshan Grover|Prem Chopra	Sushama Shiromanee	Sushama Shiromanee	Raam-Laxman	Maya Govind|Rani Malik|Faiz Anwar	Ranbir Pushp	none	none
1237	Family - Ties of Blood	296	525	154	Action	0	AB Corp Ltd.|DMS Films Pvt. Ltd.	Amitabh Bachchan|Akshay Kumar|Bhoomika Chawla|Aryeman Ramsay	Rajkumar Santoshi	Keshu Ramsay	Ram Sampath	Sameer	Shaktimaan	Shridhar Raghavan|Rajat Arora	none
1238	Joker	1037	1950	105	Other	0	Hari Om Entertainment|Three's Company|UTV Motion Pictures	Akshay Kumar|Sonakshi Sinha|Shreyas Talpade|Minissha Lamba	Shirish Kunder	Farah Khan	G.V. Prakash Kumar|Gaurav Dagaonkar	Shirish Kunder	Shirish Kunder	Ashmit Kunder	none
1239	Thakshak	2338	185	168	Drama	0	Udbhav Dreamzone	Ajay Devgn|Tabu|Amrish Puri|Rahul Bose	Govind Nihalani	Govind Nihalani	A.R. Rahman	Sukhwinder Singh|Mehboob	Govind Nihalani	Kamlesh Pandey	none
1240	Jo Bole So Nihaal	409	400	140	Comedy	0	V.R. Enterprises Pvt. Ltd.	Sunny Deol|Kamaal Khan|Shilpi Mudgal|Nupur Mehta	Rahul Rawail	N.R. Pachisia	Anand Raj Anand	Dev Kohli	Raju Saigal	Raju Saigal	Sanjay Chhel
1241	Raja Natwarlal	2297	1950	141	Thriller	0	UTV Motion Pictures	Emraan Hashmi|Humaima Malik|Paresh Rawal|Kay Kay Menon	Kunal Deshmukh	Siddharth Roy Kapur	Yuvan Shankar Raja	Irshad Kamil	Parvez Sheikh	Sanjay Masoom	Kumud Chaudhary
1242	Kisna	412	400	163	Romance	0	Mukta Arts	Vivek Oberoi|Isha Sharwani|Antonia Bernath|Polly Adams	Subhash Ghai	Subhash Ghai	Ismail Darbar|A.R. Rahman	Javed Akhtar|Blaze	Subhash Ghai	none	none
1243	8 x 10 Tasveer	152	825	121	Thriller	0	Percept Picture Company	Akshay Kumar|Ayesha Takia|Sharmila Tagore|Javed Jaffrey	Nagesh Kukunoor	Shailendra Singh	Salim-Sulaiman|Bohemia	Bohemia|Irfan Siddique|Sameer	none	none	none
1244	Elaan	410	375	158	Action	1	Venus Records & Tapes Pvt. Ltd.	Mithun Chakraborty|Rahul Khanna|Arjun Rampal|Ameesha Patel	Vikram Bhatt	Ratan Jain|Ganesh Jain	Anu Malik	Sameer	none	Robin Bhatt|Vikram Bhatt	none
1245	Prem Shakti	3170	95	146	Drama	0	PKD Films	Govinda|Karisma Kapoor|Nitish Bharadwaj|Raza Murad	Shibu Mitra	Nasir Parkar	Raam-Laxman	Dev Kohli|Ravindra Rawal	none	Madan Joshi	Juthika Mittra
1246	Milan	3179	105	128	Drama	0	Prince & Prince International	Jackie Shroff|Manisha Koirala|Gulshan Grover|Paresh Rawal	Mahesh Bhatt	Maninder Duggal	Anand-Milind	Sameer	Akash Khurana|Robin Bhatt|Sujit Sen	none	none
1247	Yugpurush	2582	130	146	Drama	0	Prathima Films	Nana Patekar|Jackie Shroff|Manisha Koirala|Ashwini Bhave	Partho Ghosh	Vijay Mehta	Rajesh Roshan	Majrooh Sultanpuri	Pradeep Ghatak	Hriday Lani	none
1248	Tango Charlie	414	325	144	Action	0	Gaurav Digital|Neha Arts	Ajay Devgn|Bobby Deol|Tanisha Mukherjee|Nandana Sen	Mani Shankar	Nitin Manmohan	Anu Malik|Anand Raj Anand	Javed Akhtar|Anand Raj Anand	Mani Shankar	none	none
1249	Rudraksh	470	375	132	Action	0	Karma Entertainment	Sanjay Dutt|Suneil Shetty|Bipasha Basu|Isha Koppikar	Mani Shankar	Nitin Manmohan|Sohail Maklai	Shankar-Ehsaan-Loy	Sameer|Arun Bhairav|Mast Ali	none	none	none
1250	Insan	424	350	142	Action	0	DMS Films Pvt. Ltd.	Akshay Kumar|Ajay Devgn|Tusshar Kapoor|Esha Deol	K. Subhash	Keshu Ramsay	Himesh Reshammiya	Sameer	none	none	Naeem-Ejaz
1251	Silsila Hai Pyar Ka	2428	120	154	Romance	0	N.N. Sippy Productions	Karisma Kapoor|Chandrachur Singh|Aruna Irani|Shakti Kapoor	Sharbani Deodhar	N.N. Sippy	Jatin-Lalit	Sameer	Robin Bhatt|Akash Khurana	K.K. Singh	none
1252	Love Story 2050	196	900	179	Other	0	Baweja Movies Pvt. Ltd.	Harman Baweja|Priyanka Chopra|Boman Irani|Archana Puran Singh	Harry Baweja	Pammi Baweja	Anu Malik	Javed Akhtar	Harry Baweja	Harry Baweja	Mayur Puri
